country,genre,youtube_views,youtube_matched_videos,youtube_error,source
US,kpop,32049516,75,,youtube_api
US,kvideo,38374,1,,youtube_api
US,kgame,22708263,8,,youtube_search_fallback
US,kwebtoon,13669123,8,,youtube_search_fallback
US,kfood,1191737,2,,youtube_api
US,kbeauty,37855730,8,,youtube_search_fallback
US,kfashion,41361918,8,,youtube_search_fallback
US,ktourism,0,0,search_http_429,youtube_api
CN,kpop,0,0,http_400,youtube_api_error
CN,kvideo,0,0,http_400,youtube_api_error
CN,kgame,0,0,http_400,youtube_api_error
CN,kwebtoon,0,0,http_400,youtube_api_error
CN,kfood,0,0,http_400,youtube_api_error
CN,kbeauty,0,0,http_400,youtube_api_error
CN,kfashion,0,0,http_400,youtube_api_error
CN,ktourism,0,0,http_400,youtube_api_error
JP,kpop,20308294,48,,youtube_api
JP,kvideo,547324,2,,youtube_api
JP,kgame,0,0,search_http_429,youtube_api
JP,kwebtoon,0,0,search_http_429,youtube_api
JP,kfood,0,0,search_http_429,youtube_api
JP,kbeauty,0,0,search_http_429,youtube_api
JP,kfashion,39943186,8,,youtube_search_fallback
JP,ktourism,1656303,8,,youtube_search_fallback
VN,kpop,32889298,55,,youtube_api
VN,kvideo,0,0,search_http_429,youtube_api
VN,kgame,1524128,4,,youtube_api
VN,kwebtoon,49388230,8,,youtube_search_fallback
VN,kfood,0,0,search_http_429,youtube_api
VN,kbeauty,0,0,search_http_429,youtube_api
VN,kfashion,0,0,search_http_429,youtube_api
VN,ktourism,0,0,search_http_429,youtube_api
TH,kpop,25710081,50,,youtube_api
TH,kvideo,0,0,search_http_429,youtube_api
TH,kgame,626068,6,,youtube_api
TH,kwebtoon,0,0,search_http_429,youtube_api
TH,kfood,0,0,search_http_429,youtube_api
TH,kbeauty,0,0,search_http_429,youtube_api
TH,kfashion,0,0,search_http_429,youtube_api
TH,ktourism,0,0,search_http_429,youtube_api
ID,kpop,28265052,53,,youtube_api
ID,kvideo,284540,2,,youtube_api
ID,kgame,569371,2,,youtube_api
ID,kwebtoon,25696928,8,,youtube_search_fallback
ID,kfood,0,0,search_http_429,youtube_api
ID,kbeauty,17880,1,,youtube_api
ID,kfashion,22196219,8,,youtube_search_fallback
ID,ktourism,0,0,search_http_429,youtube_api
IN,kpop,83057853,77,,youtube_api
IN,kvideo,0,0,search_http_429,youtube_api
IN,kgame,499935,1,,youtube_api
IN,kwebtoon,180369,1,,youtube_api
IN,kfood,1165179,1,,youtube_api
IN,kbeauty,0,0,search_http_429,youtube_api
IN,kfashion,0,0,search_http_429,youtube_api
IN,ktourism,0,0,search_http_429,youtube_api
MY,kpop,209724756,80,,youtube_api
MY,kvideo,2195904,2,,youtube_api
MY,kgame,752463,3,,youtube_api
MY,kwebtoon,0,0,search_http_429,youtube_api
MY,kfood,776181,2,,youtube_api
MY,kbeauty,0,0,search_http_429,youtube_api
MY,kfashion,0,0,search_http_429,youtube_api
MY,ktourism,0,0,search_http_429,youtube_api
FR,kpop,24504083,76,,youtube_api
FR,kvideo,195597,2,,youtube_api
FR,kgame,9267,1,,youtube_api
FR,kwebtoon,0,0,search_http_429,youtube_api
FR,kfood,0,0,search_http_429,youtube_api
FR,kbeauty,57904,1,,youtube_api
FR,kfashion,0,0,search_http_429,youtube_api
FR,ktourism,0,0,search_http_429,youtube_api
GB,kpop,40440319,73,,youtube_api
GB,kvideo,159605,2,,youtube_api
GB,kgame,16313996,8,,youtube_search_fallback
GB,kwebtoon,0,0,search_http_429,youtube_api
GB,kfood,1165179,1,,youtube_api
GB,kbeauty,43622,1,,youtube_api
GB,kfashion,0,0,search_http_429,youtube_api
GB,ktourism,0,0,search_http_429,youtube_api
BR,kpop,15752788,61,,youtube_api
BR,kvideo,0,0,search_http_429,youtube_api
BR,kgame,0,0,search_http_429,youtube_api
BR,kwebtoon,0,0,search_http_429,youtube_api
BR,kfood,0,0,search_http_429,youtube_api
BR,kbeauty,0,0,search_http_429,youtube_api
BR,kfashion,0,0,search_http_429,youtube_api
BR,ktourism,0,0,search_http_429,youtube_api
AR,kpop,17514179,40,,youtube_api
AR,kvideo,4558676,8,,youtube_search_fallback
AR,kgame,0,0,search_http_429,youtube_api
AR,kwebtoon,0,0,search_http_429,youtube_api
AR,kfood,90604307,8,,youtube_search_fallback
AR,kbeauty,41990319,8,,youtube_search_fallback
AR,kfashion,23554656,8,,youtube_search_fallback
AR,ktourism,1627005,8,,youtube_search_fallback
AE,kpop,143702052,79,,youtube_api
AE,kvideo,114126,1,,youtube_api
AE,kgame,1893835,6,,youtube_api
AE,kwebtoon,19118729,8,,youtube_search_fallback
AE,kfood,1279305,2,,youtube_api
AE,kbeauty,8379720,1,,youtube_api
AE,kfashion,0,0,search_http_429,youtube_api
AE,ktourism,0,0,search_http_429,youtube_api
TR,kpop,16566671,27,,youtube_api
TR,kvideo,0,0,search_http_429,youtube_api
TR,kgame,841955,8,,youtube_api
TR,kwebtoon,58260525,8,,youtube_search_fallback
TR,kfood,0,0,search_http_429,youtube_api
TR,kbeauty,0,0,search_http_429,youtube_api
TR,kfashion,0,0,search_http_429,youtube_api
TR,ktourism,0,0,search_http_429,youtube_api
ZA,kpop,197916231,74,,youtube_api
ZA,kvideo,0,0,search_http_429,youtube_api
ZA,kgame,0,0,search_http_429,youtube_api
ZA,kwebtoon,0,0,search_http_429,youtube_api
ZA,kfood,75970927,8,,youtube_search_fallback
ZA,kbeauty,8379720,1,,youtube_api
ZA,kfashion,0,0,search_http_429,youtube_api
ZA,ktourism,0,0,search_http_429,youtube_api
