country,genre,trends_interest,source
US,kpop,24.0,trends_api
CN,kpop,21.0,trends_api
JP,kpop,9.0,trends_api
VN,kpop,9.0,trends_api
TH,kpop,8.0,trends_api
ID,kpop,15.0,trends_api
IN,kpop,12.0,trends_api
MY,kpop,12.0,trends_api
FR,kpop,18.0,trends_api
GB,kpop,12.0,trends_api
BR,kpop,50.0,trends_api
AR,kpop,45.0,trends_api
AE,kpop,14.0,trends_api
TR,kpop,7.0,trends_api
ZA,kpop,9.0,trends_api
US,kvideo,0.0,trends_api
CN,kvideo,0.0,trends_api
JP,kvideo,0.0,trends_api
VN,kvideo,0.0,trends_api
TH,kvideo,0.0,trends_api
ID,kvideo,0.0,trends_api
IN,kvideo,0.0,trends_api
MY,kvideo,0.0,trends_api
FR,kvideo,0.0,trends_api
GB,kvideo,0.0,trends_api
BR,kvideo,0.0,trends_api
AR,kvideo,0.0,trends_api
AE,kvideo,0.0,trends_api
TR,kvideo,0.0,trends_api
ZA,kvideo,0.0,trends_api
US,kgame,31.0,trends_api
CN,kgame,45.0,trends_api
JP,kgame,15.0,trends_api
VN,kgame,16.0,trends_api
TH,kgame,10.0,trends_api
ID,kgame,9.0,trends_api
IN,kgame,12.0,trends_api
MY,kgame,27.0,trends_api
FR,kgame,6.0,trends_api
GB,kgame,14.0,trends_api
BR,kgame,4.0,trends_api
AR,kgame,5.0,trends_api
AE,kgame,16.0,trends_api
TR,kgame,5.0,trends_api
ZA,kgame,7.0,trends_api
US,kwebtoon,8.0,trends_api
CN,kwebtoon,10.0,trends_api
JP,kwebtoon,2.0,trends_api
VN,kwebtoon,7.0,trends_api
TH,kwebtoon,20.0,trends_api
ID,kwebtoon,24.0,trends_api
IN,kwebtoon,4.0,trends_api
MY,kwebtoon,15.0,trends_api
FR,kwebtoon,14.0,trends_api
GB,kwebtoon,4.0,trends_api
BR,kwebtoon,2.0,trends_api
AR,kwebtoon,4.0,trends_api
AE,kwebtoon,6.0,trends_api
TR,kwebtoon,10.0,trends_api
ZA,kwebtoon,3.0,trends_api
US,kfood,15.0,trends_api
CN,kfood,6.0,trends_api
JP,kfood,4.0,trends_api
VN,kfood,7.0,trends_api
TH,kfood,4.0,trends_api
ID,kfood,5.0,trends_api
IN,kfood,4.0,trends_api
MY,kfood,34.0,trends_api
FR,kfood,2.0,trends_api
GB,kfood,6.0,trends_api
BR,kfood,1.0,trends_api
AR,kfood,1.0,trends_api
AE,kfood,6.0,trends_api
TR,kfood,1.0,trends_api
ZA,kfood,3.0,trends_api
US,kbeauty,37.0,trends_api
CN,kbeauty,11.0,trends_api
JP,kbeauty,8.0,trends_api
VN,kbeauty,5.0,trends_api
TH,kbeauty,6.0,trends_api
ID,kbeauty,4.0,trends_api
IN,kbeauty,7.0,trends_api
MY,kbeauty,16.0,trends_api
FR,kbeauty,11.0,trends_api
GB,kbeauty,39.0,trends_api
BR,kbeauty,3.0,trends_api
AR,kbeauty,3.0,trends_api
AE,kbeauty,32.0,trends_api
TR,kbeauty,5.0,trends_api
ZA,kbeauty,28.0,trends_api
US,kfashion,19.0,trends_api
CN,kfashion,23.0,trends_api
JP,kfashion,15.0,trends_api
VN,kfashion,13.0,trends_api
TH,kfashion,10.0,trends_api
ID,kfashion,8.0,trends_api
IN,kfashion,11.0,trends_api
MY,kfashion,19.0,trends_api
FR,kfashion,5.0,trends_api
GB,kfashion,10.0,trends_api
BR,kfashion,3.0,trends_api
AR,kfashion,4.0,trends_api
AE,kfashion,10.0,trends_api
TR,kfashion,3.0,trends_api
ZA,kfashion,5.0,trends_api
US,ktourism,3.0,trends_api
CN,ktourism,2.0,trends_api
JP,ktourism,5.0,trends_api
VN,ktourism,2.0,trends_api
TH,ktourism,2.0,trends_api
ID,ktourism,1.0,trends_api
IN,ktourism,1.0,trends_api
MY,ktourism,3.0,trends_api
FR,ktourism,1.0,trends_api
GB,ktourism,2.0,trends_api
BR,ktourism,0.0,trends_api
AR,ktourism,1.0,trends_api
AE,ktourism,2.0,trends_api
TR,ktourism,0.0,trends_api
ZA,ktourism,1.0,trends_api
