country,genre,trends_interest,source
US,kpop,24.0,trends_api
CN,kpop,25.0,trends_api
JP,kpop,7.0,trends_api
VN,kpop,8.0,trends_api
TH,kpop,5.0,trends_api
ID,kpop,13.0,trends_api
IN,kpop,11.0,trends_api
MY,kpop,10.0,trends_api
FR,kpop,17.0,trends_api
GB,kpop,9.0,trends_api
BR,kpop,47.0,trends_api
AR,kpop,44.0,trends_api
AE,kpop,11.0,trends_api
TR,kpop,6.0,trends_api
ZA,kpop,8.0,trends_api
US,kvideo,55.0,sample_trends
CN,kvideo,58.0,sample_trends
JP,kvideo,56.0,sample_trends
VN,kvideo,72.0,sample_trends
TH,kvideo,72.0,sample_trends
ID,kvideo,68.0,sample_trends
IN,kvideo,42.0,sample_trends
MY,kvideo,65.0,sample_trends
FR,kvideo,44.0,sample_trends
GB,kvideo,43.0,sample_trends
BR,kvideo,52.0,sample_trends
AR,kvideo,45.0,sample_trends
AE,kvideo,50.0,sample_trends
TR,kvideo,49.0,sample_trends
ZA,kvideo,36.0,sample_trends
US,kgame,64.0,sample_trends
CN,kgame,55.0,sample_trends
JP,kgame,58.0,sample_trends
VN,kgame,70.0,sample_trends
TH,kgame,66.0,sample_trends
ID,kgame,69.0,sample_trends
IN,kgame,54.0,sample_trends
MY,kgame,60.0,sample_trends
FR,kgame,56.0,sample_trends
GB,kgame,55.0,sample_trends
BR,kgame,62.0,sample_trends
AR,kgame,58.0,sample_trends
AE,kgame,52.0,sample_trends
TR,kgame,58.0,sample_trends
ZA,kgame,50.0,sample_trends
US,kwebtoon,52.0,sample_trends
CN,kwebtoon,56.0,sample_trends
JP,kwebtoon,54.0,sample_trends
VN,kwebtoon,68.0,sample_trends
TH,kwebtoon,64.0,sample_trends
ID,kwebtoon,66.0,sample_trends
IN,kwebtoon,48.0,sample_trends
MY,kwebtoon,58.0,sample_trends
FR,kwebtoon,50.0,sample_trends
GB,kwebtoon,47.0,sample_trends
BR,kwebtoon,54.0,sample_trends
AR,kwebtoon,50.0,sample_trends
AE,kwebtoon,44.0,sample_trends
TR,kwebtoon,50.0,sample_trends
ZA,kwebtoon,42.0,sample_trends
US,kfood,42.0,sample_trends
CN,kfood,49.0,sample_trends
JP,kfood,51.0,sample_trends
VN,kfood,57.0,sample_trends
TH,kfood,48.0,sample_trends
ID,kfood,54.0,sample_trends
IN,kfood,32.0,sample_trends
MY,kfood,52.0,sample_trends
FR,kfood,39.0,sample_trends
GB,kfood,36.0,sample_trends
BR,kfood,40.0,sample_trends
AR,kfood,36.0,sample_trends
AE,kfood,43.0,sample_trends
TR,kfood,35.0,sample_trends
ZA,kfood,30.0,sample_trends
US,kbeauty,55.0,sample_trends
CN,kbeauty,73.0,sample_trends
JP,kbeauty,59.0,sample_trends
VN,kbeauty,67.0,sample_trends
TH,kbeauty,62.0,sample_trends
ID,kbeauty,61.0,sample_trends
IN,kbeauty,42.0,sample_trends
MY,kbeauty,65.0,sample_trends
FR,kbeauty,48.0,sample_trends
GB,kbeauty,45.0,sample_trends
BR,kbeauty,51.0,sample_trends
AR,kbeauty,44.0,sample_trends
AE,kbeauty,54.0,sample_trends
TR,kbeauty,46.0,sample_trends
ZA,kbeauty,36.0,sample_trends
US,kfashion,40.0,sample_trends
CN,kfashion,53.0,sample_trends
JP,kfashion,42.0,sample_trends
VN,kfashion,48.0,sample_trends
TH,kfashion,45.0,sample_trends
ID,kfashion,44.0,sample_trends
IN,kfashion,30.0,sample_trends
MY,kfashion,47.0,sample_trends
FR,kfashion,35.0,sample_trends
GB,kfashion,32.0,sample_trends
BR,kfashion,37.0,sample_trends
AR,kfashion,32.0,sample_trends
AE,kfashion,39.0,sample_trends
TR,kfashion,33.0,sample_trends
ZA,kfashion,26.0,sample_trends
US,ktourism,38.0,sample_trends
CN,ktourism,42.0,sample_trends
JP,ktourism,50.0,sample_trends
VN,ktourism,47.0,sample_trends
TH,ktourism,37.0,sample_trends
ID,ktourism,41.0,sample_trends
IN,ktourism,32.0,sample_trends
MY,ktourism,39.0,sample_trends
FR,ktourism,44.0,sample_trends
GB,ktourism,40.0,sample_trends
BR,ktourism,36.0,sample_trends
AR,ktourism,33.0,sample_trends
AE,ktourism,35.0,sample_trends
TR,ktourism,32.0,sample_trends
ZA,ktourism,28.0,sample_trends
