country,genre,trends_interest,source
US,kpop,23.0,trends_api
CN,kpop,15.0,trends_api
JP,kpop,9.0,trends_api
VN,kpop,15.0,trends_api
TH,kpop,11.0,trends_api
ID,kpop,16.0,trends_api
IN,kpop,14.0,trends_api
MY,kpop,15.0,trends_api
FR,kpop,19.0,trends_api
GB,kpop,18.0,trends_api
BR,kpop,53.0,trends_api
AR,kpop,44.0,trends_api
AE,kpop,16.0,trends_api
TR,kpop,8.0,trends_api
ZA,kpop,10.0,trends_api
US,kvideo,55.0,sample_trends
CN,kvideo,58.0,sample_trends
JP,kvideo,56.0,sample_trends
VN,kvideo,72.0,sample_trends
TH,kvideo,72.0,sample_trends
ID,kvideo,68.0,sample_trends
IN,kvideo,42.0,sample_trends
MY,kvideo,65.0,sample_trends
FR,kvideo,44.0,sample_trends
GB,kvideo,43.0,sample_trends
BR,kvideo,52.0,sample_trends
AR,kvideo,45.0,sample_trends
AE,kvideo,50.0,sample_trends
TR,kvideo,49.0,sample_trends
ZA,kvideo,36.0,sample_trends
US,kgame,11.0,trends_api
CN,kgame,7.0,trends_api
JP,kgame,5.0,trends_api
VN,kgame,5.0,trends_api
TH,kgame,4.0,trends_api
ID,kgame,3.0,trends_api
IN,kgame,5.0,trends_api
MY,kgame,11.0,trends_api
FR,kgame,2.0,trends_api
GB,kgame,7.0,trends_api
BR,kgame,2.0,trends_api
AR,kgame,2.0,trends_api
AE,kgame,6.0,trends_api
TR,kgame,1.0,trends_api
ZA,kgame,3.0,trends_api
US,kwebtoon,1.0,trends_api
CN,kwebtoon,1.0,trends_api
JP,kwebtoon,0.0,trends_api
VN,kwebtoon,0.0,trends_api
TH,kwebtoon,1.0,trends_api
ID,kwebtoon,2.0,trends_api
IN,kwebtoon,0.0,trends_api
MY,kwebtoon,1.0,trends_api
FR,kwebtoon,1.0,trends_api
GB,kwebtoon,0.0,trends_api
BR,kwebtoon,0.0,trends_api
AR,kwebtoon,0.0,trends_api
AE,kwebtoon,0.0,trends_api
TR,kwebtoon,1.0,trends_api
ZA,kwebtoon,0.0,trends_api
US,kfood,14.0,trends_api
CN,kfood,4.0,trends_api
JP,kfood,3.0,trends_api
VN,kfood,6.0,trends_api
TH,kfood,3.0,trends_api
ID,kfood,5.0,trends_api
IN,kfood,3.0,trends_api
MY,kfood,38.0,trends_api
FR,kfood,2.0,trends_api
GB,kfood,7.0,trends_api
BR,kfood,1.0,trends_api
AR,kfood,1.0,trends_api
AE,kfood,5.0,trends_api
TR,kfood,1.0,trends_api
ZA,kfood,3.0,trends_api
US,kbeauty,55.0,sample_trends
CN,kbeauty,73.0,sample_trends
JP,kbeauty,59.0,sample_trends
VN,kbeauty,67.0,sample_trends
TH,kbeauty,62.0,sample_trends
ID,kbeauty,61.0,sample_trends
IN,kbeauty,42.0,sample_trends
MY,kbeauty,65.0,sample_trends
FR,kbeauty,48.0,sample_trends
GB,kbeauty,45.0,sample_trends
BR,kbeauty,51.0,sample_trends
AR,kbeauty,44.0,sample_trends
AE,kbeauty,54.0,sample_trends
TR,kbeauty,46.0,sample_trends
ZA,kbeauty,36.0,sample_trends
US,kfashion,22.0,trends_api
CN,kfashion,1.0,trends_api
JP,kfashion,15.0,trends_api
VN,kfashion,14.0,trends_api
TH,kfashion,12.0,trends_api
ID,kfashion,11.0,trends_api
IN,kfashion,11.0,trends_api
MY,kfashion,24.0,trends_api
FR,kfashion,6.0,trends_api
GB,kfashion,16.0,trends_api
BR,kfashion,4.0,trends_api
AR,kfashion,3.0,trends_api
AE,kfashion,13.0,trends_api
TR,kfashion,2.0,trends_api
ZA,kfashion,8.0,trends_api
US,ktourism,14.0,trends_api
CN,ktourism,11.0,trends_api
JP,ktourism,16.0,trends_api
VN,ktourism,8.0,trends_api
TH,ktourism,8.0,trends_api
ID,ktourism,6.0,trends_api
IN,ktourism,6.0,trends_api
MY,ktourism,16.0,trends_api
FR,ktourism,2.0,trends_api
GB,ktourism,12.0,trends_api
BR,ktourism,2.0,trends_api
AR,ktourism,2.0,trends_api
AE,ktourism,9.0,trends_api
TR,ktourism,2.0,trends_api
ZA,ktourism,3.0,trends_api
