country,genre,youtube_views,youtube_matched_videos,youtube_error,source
US,kpop,25061546,85,,youtube_api
US,kvideo,225818,2,,youtube_api
US,kgame,76544,1,,youtube_api
US,kwebtoon,13076494,8,,youtube_search_fallback
US,kfood,413268,2,,youtube_api
US,kbeauty,179433,2,,youtube_api
US,kfashion,35293741,8,,youtube_search_fallback
US,ktourism,3084785,8,,youtube_search_fallback
CN,kpop,0,0,http_400,youtube_api_error
CN,kvideo,0,0,http_400,youtube_api_error
CN,kgame,0,0,http_400,youtube_api_error
CN,kwebtoon,0,0,http_400,youtube_api_error
CN,kfood,0,0,http_400,youtube_api_error
CN,kbeauty,0,0,http_400,youtube_api_error
CN,kfashion,0,0,http_400,youtube_api_error
CN,ktourism,0,0,http_400,youtube_api_error
JP,kpop,7231529,34,,youtube_api
JP,kvideo,12800236,8,,youtube_search_fallback
JP,kgame,192227,1,,youtube_api
JP,kwebtoon,12331690,8,,youtube_search_fallback
JP,kfood,85943,1,,youtube_api
JP,kbeauty,88815564,8,,youtube_search_fallback
JP,kfashion,41043921,8,,youtube_search_fallback
JP,ktourism,3418529,8,,youtube_search_fallback
VN,kpop,65536909,53,,youtube_api
VN,kvideo,22626122,8,,youtube_search_fallback
VN,kgame,794942,3,,youtube_api
VN,kwebtoon,94208148,8,,youtube_search_fallback
VN,kfood,1882522,3,,youtube_api
VN,kbeauty,99179350,8,,youtube_search_fallback
VN,kfashion,22652444,8,,youtube_search_fallback
VN,ktourism,4589753,8,,youtube_search_fallback
TH,kpop,10313517,37,,youtube_api
TH,kvideo,17761,2,,youtube_api
TH,kgame,249863,2,,youtube_api
TH,kwebtoon,32011998,8,,youtube_search_fallback
TH,kfood,80979421,8,,youtube_search_fallback
TH,kbeauty,90588460,8,,youtube_search_fallback
TH,kfashion,22652438,8,,youtube_search_fallback
TH,ktourism,3370036,8,,youtube_search_fallback
ID,kpop,26405848,59,,youtube_api
ID,kvideo,126939,1,,youtube_api
ID,kgame,697749,3,,youtube_api
ID,kwebtoon,17474536,8,,youtube_search_fallback
ID,kfood,197639692,8,,youtube_search_fallback
ID,kbeauty,95503905,8,,youtube_search_fallback
ID,kfashion,24004935,8,,youtube_search_fallback
ID,ktourism,3327689,8,,youtube_search_fallback
IN,kpop,57616447,90,,youtube_api
IN,kvideo,21648848,8,,youtube_search_fallback
IN,kgame,1017658,4,,youtube_api
IN,kwebtoon,132283,1,,youtube_api
IN,kfood,219387504,8,,youtube_search_fallback
IN,kbeauty,47320159,8,,youtube_search_fallback
IN,kfashion,45698339,8,,youtube_search_fallback
IN,ktourism,9124864,8,,youtube_search_fallback
MY,kpop,191504419,65,,youtube_api
MY,kvideo,23898028,8,,youtube_search_fallback
MY,kgame,17405174,8,,youtube_search_fallback
MY,kwebtoon,15680046,8,,youtube_search_fallback
MY,kfood,3883952,3,,youtube_api
MY,kbeauty,551701,1,,youtube_api
MY,kfashion,24507757,8,,youtube_search_fallback
MY,ktourism,9692527,8,,youtube_search_fallback
FR,kpop,18323047,88,,youtube_api
FR,kvideo,14307747,8,,youtube_search_fallback
FR,kgame,10074470,8,,youtube_search_fallback
FR,kwebtoon,26128440,8,,youtube_search_fallback
FR,kfood,17071,1,,youtube_api
FR,kbeauty,42577986,8,,youtube_search_fallback
FR,kfashion,38878579,8,,youtube_search_fallback
FR,ktourism,10746183,8,,youtube_search_fallback
GB,kpop,22215937,80,,youtube_api
GB,kvideo,225818,2,,youtube_api
GB,kgame,10411665,8,,youtube_search_fallback
GB,kwebtoon,9912783,8,,youtube_search_fallback
GB,kfood,84890997,8,,youtube_search_fallback
GB,kbeauty,93443,1,,youtube_api
GB,kfashion,5515698,8,,youtube_search_fallback
GB,ktourism,10860406,8,,youtube_search_fallback
BR,kpop,13850304,59,,youtube_api
BR,kvideo,22303248,8,,youtube_search_fallback
BR,kgame,20709412,8,,youtube_search_fallback
BR,kwebtoon,35801282,8,,youtube_search_fallback
BR,kfood,3935,1,,youtube_api
BR,kbeauty,105077164,8,,youtube_search_fallback
BR,kfashion,24426205,8,,youtube_search_fallback
BR,ktourism,2931593,8,,youtube_search_fallback
AR,kpop,16373429,46,,youtube_api
AR,kvideo,24315396,8,,youtube_search_fallback
AR,kgame,11586268,8,,youtube_search_fallback
AR,kwebtoon,77688698,8,,youtube_search_fallback
AR,kfood,307424,2,,youtube_api
AR,kbeauty,402997,1,,youtube_api
AR,kfashion,22180857,8,,youtube_search_fallback
AR,ktourism,2946949,8,,youtube_search_fallback
AE,kpop,261276223,104,,youtube_api
AE,kvideo,23655402,8,,youtube_search_fallback
AE,kgame,1162845,5,,youtube_api
AE,kwebtoon,15567401,8,,youtube_search_fallback
AE,kfood,60465,1,,youtube_api
AE,kbeauty,36877176,8,,youtube_search_fallback
AE,kfashion,36230738,8,,youtube_search_fallback
AE,ktourism,4348926,8,,youtube_search_fallback
TR,kpop,23822687,21,,youtube_api
TR,kvideo,1247569,1,,youtube_api
TR,kgame,713941,9,,youtube_api
TR,kwebtoon,26300993,8,,youtube_search_fallback
TR,kfood,106951405,8,,youtube_search_fallback
TR,kbeauty,115230385,8,,youtube_search_fallback
TR,kfashion,22652442,8,,youtube_search_fallback
TR,ktourism,4589753,8,,youtube_search_fallback
ZA,kpop,89147383,63,,youtube_api
ZA,kvideo,29832139,8,,youtube_search_fallback
ZA,kgame,15077642,8,,youtube_search_fallback
ZA,kwebtoon,13254362,8,,youtube_search_fallback
ZA,kfood,3281851,4,,youtube_api
ZA,kbeauty,131715576,8,,youtube_search_fallback
ZA,kfashion,23361434,8,,youtube_search_fallback
ZA,ktourism,3738342,8,,youtube_search_fallback
