country,genre,youtube_views,youtube_matched_videos,youtube_error,source
US,kpop,83873824,75,,youtube_api
US,kvideo,1866371,3,,youtube_api
US,kgame,134490,1,,youtube_api
US,kwebtoon,65634580,8,,youtube_search_fallback
US,kfood,101955759,8,,youtube_search_fallback
US,kbeauty,81200,1,,youtube_api
US,kfashion,7372787,8,,youtube_search_fallback
US,ktourism,3573746,8,,youtube_search_fallback
CN,kpop,0,0,http_400,youtube_api_error
CN,kvideo,0,0,http_400,youtube_api_error
CN,kgame,0,0,http_400,youtube_api_error
CN,kwebtoon,0,0,http_400,youtube_api_error
CN,kfood,0,0,http_400,youtube_api_error
CN,kbeauty,0,0,http_400,youtube_api_error
CN,kfashion,0,0,http_400,youtube_api_error
CN,ktourism,0,0,http_400,youtube_api_error
JP,kpop,11586455,45,,youtube_api
JP,kvideo,19910618,8,,youtube_search_fallback
JP,kgame,157608,1,,youtube_api
JP,kwebtoon,13086514,8,,youtube_search_fallback
JP,kfood,37651066,8,,youtube_search_fallback
JP,kbeauty,39485454,8,,youtube_search_fallback
JP,kfashion,7005734,8,,youtube_search_fallback
JP,ktourism,1619012,8,,youtube_search_fallback
VN,kpop,62096076,53,,youtube_api
VN,kvideo,31919583,8,,youtube_search_fallback
VN,kgame,1015609,2,,youtube_api
VN,kwebtoon,63079718,8,,youtube_search_fallback
VN,kfood,141249158,8,,youtube_search_fallback
VN,kbeauty,39981824,8,,youtube_search_fallback
VN,kfashion,23596967,8,,youtube_search_fallback
VN,ktourism,1860152,8,,youtube_search_fallback
TH,kpop,15701263,53,,youtube_api
TH,kvideo,64212,1,,youtube_api
TH,kgame,271613,4,,youtube_api
TH,kwebtoon,25041243,8,,youtube_search_fallback
TH,kfood,73679258,8,,youtube_search_fallback
TH,kbeauty,38615926,8,,youtube_search_fallback
TH,kfashion,24653896,8,,youtube_search_fallback
TH,ktourism,2164506,8,,youtube_search_fallback
ID,kpop,46660604,63,,youtube_api
ID,kvideo,82044,1,,youtube_api
ID,kgame,2274899,3,,youtube_api
ID,kwebtoon,26429595,8,,youtube_search_fallback
ID,kfood,130427502,8,,youtube_search_fallback
ID,kbeauty,38627619,8,,youtube_search_fallback
ID,kfashion,21341962,8,,youtube_search_fallback
ID,ktourism,2009433,8,,youtube_search_fallback
IN,kpop,173381175,95,,youtube_api
IN,kvideo,9940415,8,,youtube_search_fallback
IN,kgame,1586372,2,,youtube_api
IN,kwebtoon,15057026,8,,youtube_search_fallback
IN,kfood,210886078,8,,youtube_search_fallback
IN,kbeauty,41438600,8,,youtube_search_fallback
IN,kfashion,9781089,8,,youtube_search_fallback
IN,ktourism,2764455,8,,youtube_search_fallback
MY,kpop,313570769,71,,youtube_api
MY,kvideo,6227245,1,,youtube_api
MY,kgame,1815946,2,,youtube_api
MY,kwebtoon,8709693,8,,youtube_search_fallback
MY,kfood,59740266,8,,youtube_search_fallback
MY,kbeauty,267743,1,,youtube_api
MY,kfashion,25703860,8,,youtube_search_fallback
MY,ktourism,1839361,8,,youtube_search_fallback
FR,kpop,19920207,87,,youtube_api
FR,kvideo,182851,5,,youtube_api
FR,kgame,136018,1,,youtube_api
FR,kwebtoon,13234,1,,youtube_api
FR,kfood,57683154,8,,youtube_search_fallback
FR,kbeauty,43170394,8,,youtube_search_fallback
FR,kfashion,6738917,8,,youtube_search_fallback
FR,ktourism,3181763,8,,youtube_search_fallback
GB,kpop,43868569,69,,youtube_api
GB,kvideo,71444,1,,youtube_api
GB,kgame,4411476,8,,youtube_search_fallback
GB,kwebtoon,12720686,8,,youtube_search_fallback
GB,kfood,134956610,8,,youtube_search_fallback
GB,kbeauty,214239,2,,youtube_api
GB,kfashion,6082723,8,,youtube_search_fallback
GB,ktourism,3338673,8,,youtube_search_fallback
BR,kpop,22746548,76,,youtube_api
BR,kvideo,17317295,8,,youtube_search_fallback
BR,kgame,6775180,8,,youtube_search_fallback
BR,kwebtoon,36800867,8,,youtube_search_fallback
BR,kfood,138224988,8,,youtube_search_fallback
BR,kbeauty,43281021,8,,youtube_search_fallback
BR,kfashion,24658055,8,,youtube_search_fallback
BR,ktourism,3206270,8,,youtube_search_fallback
AR,kpop,15586931,54,,youtube_api
AR,kvideo,30232734,8,,youtube_search_fallback
AR,kgame,2685404,8,,youtube_search_fallback
AR,kwebtoon,27639480,8,,youtube_search_fallback
AR,kfood,169350460,8,,youtube_search_fallback
AR,kbeauty,75847,1,,youtube_api
AR,kfashion,23626490,8,,youtube_search_fallback
AR,ktourism,30725436,8,,youtube_search_fallback
AE,kpop,325262148,80,,youtube_api
AE,kvideo,31528337,8,,youtube_search_fallback
AE,kgame,649520,3,,youtube_api
AE,kwebtoon,13332222,8,,youtube_search_fallback
AE,kfood,80426317,8,,youtube_search_fallback
AE,kbeauty,41388005,8,,youtube_search_fallback
AE,kfashion,27398911,8,,youtube_search_fallback
AE,ktourism,1563359,8,,youtube_search_fallback
TR,kpop,6058310,20,,youtube_api
TR,kvideo,15172969,8,,youtube_search_fallback
TR,kgame,970501,8,,youtube_api
TR,kwebtoon,17175115,8,,youtube_search_fallback
TR,kfood,138635887,8,,youtube_search_fallback
TR,kbeauty,43339338,8,,youtube_search_fallback
TR,kfashion,25664694,8,,youtube_search_fallback
TR,ktourism,1651475,8,,youtube_search_fallback
ZA,kpop,139157347,55,,youtube_api
ZA,kvideo,10685650,3,,youtube_api
ZA,kgame,5057952,8,,youtube_search_fallback
ZA,kwebtoon,13922240,8,,youtube_search_fallback
ZA,kfood,41327027,8,,youtube_search_fallback
ZA,kbeauty,49741950,8,,youtube_search_fallback
ZA,kfashion,27020134,8,,youtube_search_fallback
ZA,ktourism,1269727,8,,youtube_search_fallback
