country,genre,youtube_views,youtube_matched_videos,youtube_error,source
US,kpop,19760919,76,,youtube_api
US,kvideo,779703,4,,youtube_api
US,kgame,123721,3,,youtube_api
US,kwebtoon,0,0,search_http_429,youtube_api
US,kfood,118856,1,,youtube_api
US,kbeauty,63505,1,,youtube_api
US,kfashion,0,0,search_http_429,youtube_api
US,ktourism,0,0,search_http_429,youtube_api
CN,kpop,0,0,http_400,youtube_api_error
CN,kvideo,0,0,http_400,youtube_api_error
CN,kgame,0,0,http_400,youtube_api_error
CN,kwebtoon,0,0,http_400,youtube_api_error
CN,kfood,0,0,http_400,youtube_api_error
CN,kbeauty,0,0,http_400,youtube_api_error
CN,kfashion,0,0,http_400,youtube_api_error
CN,ktourism,0,0,http_400,youtube_api_error
JP,kpop,6614114,34,,youtube_api
JP,kvideo,311177,1,,youtube_api
JP,kgame,184440,1,,youtube_api
JP,kwebtoon,59184,1,,youtube_api
JP,kfood,0,0,search_http_429,youtube_api
JP,kbeauty,0,0,search_http_429,youtube_api
JP,kfashion,0,0,search_http_429,youtube_api
JP,ktourism,0,0,search_http_429,youtube_api
VN,kpop,44416321,60,,youtube_api
VN,kvideo,0,0,search_http_429,youtube_api
VN,kgame,2998624,5,,youtube_api
VN,kwebtoon,0,0,search_http_429,youtube_api
VN,kfood,903995,1,,youtube_api
VN,kbeauty,0,0,search_http_429,youtube_api
VN,kfashion,0,0,search_http_429,youtube_api
VN,ktourism,0,0,search_http_429,youtube_api
TH,kpop,15422593,54,,youtube_api
TH,kvideo,32985,3,,youtube_api
TH,kgame,202739,4,,youtube_api
TH,kwebtoon,0,0,search_http_429,youtube_api
TH,kfood,108913,4,,youtube_api
TH,kbeauty,82978,1,,youtube_api
TH,kfashion,0,0,search_http_429,youtube_api
TH,ktourism,0,0,search_http_429,youtube_api
ID,kpop,24851618,69,,youtube_api
ID,kvideo,0,0,search_http_429,youtube_api
ID,kgame,1074138,7,,youtube_api
ID,kwebtoon,0,0,search_http_429,youtube_api
ID,kfood,1325018,9,,youtube_api
ID,kbeauty,0,0,search_http_429,youtube_api
ID,kfashion,0,0,search_http_429,youtube_api
ID,ktourism,0,0,search_http_429,youtube_api
IN,kpop,56887466,85,,youtube_api
IN,kvideo,0,0,search_http_429,youtube_api
IN,kgame,2623142,8,,youtube_api
IN,kwebtoon,0,0,search_http_429,youtube_api
IN,kfood,0,0,search_http_429,youtube_api
IN,kbeauty,796423,2,,youtube_api
IN,kfashion,0,0,search_http_429,youtube_api
IN,ktourism,0,0,search_http_429,youtube_api
MY,kpop,198062818,66,,youtube_api
MY,kvideo,0,0,search_http_429,youtube_api
MY,kgame,473500,2,,youtube_api
MY,kwebtoon,0,0,search_http_429,youtube_api
MY,kfood,2789106,6,,youtube_api
MY,kbeauty,434148,1,,youtube_api
MY,kfashion,0,0,search_http_429,youtube_api
MY,ktourism,0,0,search_http_429,youtube_api
FR,kpop,16645629,87,,youtube_api
FR,kvideo,417478,3,,youtube_api
FR,kgame,0,0,search_http_429,youtube_api
FR,kwebtoon,0,0,search_http_429,youtube_api
FR,kfood,42047,1,,youtube_api
FR,kbeauty,0,0,search_http_429,youtube_api
FR,kfashion,0,0,search_http_429,youtube_api
FR,ktourism,0,0,search_http_429,youtube_api
GB,kpop,27934510,85,,youtube_api
GB,kvideo,1158380,4,,youtube_api
GB,kgame,63505,1,,youtube_api
GB,kwebtoon,7037,1,,youtube_api
GB,kfood,0,0,search_http_429,youtube_api
GB,kbeauty,129787,2,,youtube_api
GB,kfashion,0,0,search_http_429,youtube_api
GB,ktourism,0,0,search_http_429,youtube_api
BR,kpop,7090741,65,,youtube_api
BR,kvideo,513769,1,,youtube_api
BR,kgame,0,0,search_http_429,youtube_api
BR,kwebtoon,0,0,search_http_429,youtube_api
BR,kfood,0,0,search_http_429,youtube_api
BR,kbeauty,223088,2,,youtube_api
BR,kfashion,0,0,search_http_429,youtube_api
BR,ktourism,0,0,search_http_429,youtube_api
AR,kpop,8452480,53,,youtube_api
AR,kvideo,0,0,search_http_429,youtube_api
AR,kgame,0,0,search_http_429,youtube_api
AR,kwebtoon,0,0,search_http_429,youtube_api
AR,kfood,89580,1,,youtube_api
AR,kbeauty,0,0,search_http_429,youtube_api
AR,kfashion,0,0,search_http_429,youtube_api
AR,ktourism,0,0,search_http_429,youtube_api
AE,kpop,268572968,94,,youtube_api
AE,kvideo,0,0,search_http_429,youtube_api
AE,kgame,1278576,3,,youtube_api
AE,kwebtoon,0,0,search_http_429,youtube_api
AE,kfood,454105,1,,youtube_api
AE,kbeauty,0,0,search_http_429,youtube_api
AE,kfashion,0,0,search_http_429,youtube_api
AE,ktourism,0,0,search_http_429,youtube_api
TR,kpop,18064729,22,,youtube_api
TR,kvideo,395731,1,,youtube_api
TR,kgame,957707,14,,youtube_api
TR,kwebtoon,0,0,search_http_429,youtube_api
TR,kfood,0,0,search_http_429,youtube_api
TR,kbeauty,0,0,search_http_429,youtube_api
TR,kfashion,0,0,search_http_429,youtube_api
TR,ktourism,0,0,search_http_429,youtube_api
ZA,kpop,104531067,67,,youtube_api
ZA,kvideo,0,0,search_http_429,youtube_api
ZA,kgame,362895,1,,youtube_api
ZA,kwebtoon,0,0,search_http_429,youtube_api
ZA,kfood,1421759,4,,youtube_api
ZA,kbeauty,0,0,search_http_429,youtube_api
ZA,kfashion,0,0,search_http_429,youtube_api
ZA,ktourism,0,0,search_http_429,youtube_api
