country,kwci,L2_norm,youtube_views,trends_interest,country_name
VN,71.11,100.0,311470190,54.6,베트남
AR,58.68,6.666666666666667,155802018,42.8,아르헨티나
TH,55.93,0.0,240183494,49.9,태국
FR,52.13,0.0,161053523,41.6,프랑스
US,50.03,0.0,77411629,46.2,미국
JP,46.53,0.0,165919639,47.1,일본
AE,42.03,0.0,379179176,41.0,UAE
BR,41.16,13.333333333333334,225103143,47.4,브라질
MY,41.06,46.666666666666664,287123604,49.5,말레이시아
TR,34.07,0.0,301509175,38.6,터키
ID,34.0,6.666666666666667,365181293,52.0,인도네시아
CN,29.37,26.666666666666668,0,51.4,중국
IN,20.92,0.0,401946102,36.4,인도
GB,20.47,0.0,144126747,38.4,영국
ZA,20.1,0.0,309408729,32.0,남아공
