country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
US,kpop,72,78,sample_baseline,32049516,75,,youtube_api,24.0,trends_api,51,kf_api,,,55.55555555555556,15.281703796570396,39.53488372093023,0.0,0.4,0.35,0.25,37.45453948125442,,14.98181579250177,0.1228,1.8397669793192175
US,kvideo,55,78,sample_baseline,38374,1,,youtube_api,0.0,trends_api,51,kf_api,,,52.77777777777778,0.8417794991352753,50.0,70.96774193548387,0.4,0.35,0.25,33.905733935808456,,56.142938735613704,0.1287,7.225596215273484
US,kgame,64,78,sample_baseline,22708263,8,,youtube_search_fallback,31.0,trends_api,51,kf_api,,,70.0,100.0,65.85365853658537,70.96774193548387,0.4,0.35,0.25,79.46341463414635,,74.36601101494887,0.1067,7.934853375295044
US,kwebtoon,52,78,sample_baseline,13669123,8,,youtube_search_fallback,8.0,trends_api,51,kf_api,,,38.46153846153847,23.462066296175667,27.27272727272727,70.96774193548387,0.4,0.35,0.25,30.41452040645869,,54.746453323873794,0.0615,3.3669068794182384
US,kfood,42,78,sample_baseline,1191737,2,,youtube_api,15.0,trends_api,51,kf_api,0.0,customs_api,44.44444444444444,1.315320473672405,42.42424242424242,70.96774193548387,0.4,0.35,0.25,28.844200549623725,50.0,52.059162690569906,0.1677,8.730321583208573
US,kbeauty,55,78,sample_baseline,37855730,8,,youtube_search_fallback,37.0,trends_api,51,kf_api,0.0,customs_api,51.35135135135135,90.15347085122168,94.44444444444444,70.96774193548387,0.4,0.35,0.25,75.70536644957924,50.0,61.43139587056101,0.2165,13.299897205976459
US,kfashion,40,78,sample_baseline,41361918,8,,youtube_search_fallback,19.0,trends_api,51,kf_api,0.0,customs_api,51.85185185185185,100.0,80.0,70.96774193548387,0.4,0.35,0.25,75.74074074074073,50.0,61.438470728793305,0.1401,8.607529749103943
US,ktourism,38,78,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,51,kf_api,120000.0,sample_kto,45.45454545454545,0.0,60.0,70.96774193548387,0.4,0.35,0.25,33.18181818181819,38.983050847457626,47.41821164073761,0.056,2.655419851881306
CN,kpop,64,60,sample_baseline,0,0,http_400,youtube_api_error,21.0,trends_api,33,kf_api,,,33.33333333333333,0.0,32.55813953488372,13.333333333333334,0.4,0.6,0.0,13.333333333333332,,13.333333333333332,0.1228,1.6373333333333333
CN,kvideo,58,60,sample_baseline,0,0,http_400,youtube_api_error,0.0,trends_api,33,kf_api,,,61.111111111111114,0.0,50.0,12.903225806451612,0.4,0.6,0.0,24.444444444444446,,17.519713261648747,0.1287,2.254787096774194
CN,kgame,55,60,sample_baseline,0,0,http_400,youtube_api_error,45.0,trends_api,33,kf_api,,,25.0,0.0,100.0,12.903225806451612,0.4,0.6,0.0,10.0,,11.741935483870968,0.1067,1.2528645161290324
