country,kwci,L2_norm,youtube_views,trends_interest,country_name
VN,63.91,100.0,83801656,7.4,베트남
AR,60.22,13.333333333333334,179849142,7.9,아르헨티나
US,53.66,0.0,148874661,17.1,미국
TH,51.97,13.333333333333334,26336149,7.5,태국
FR,48.27,0.0,24766851,7.1,프랑스
JP,44.18,6.666666666666667,62455107,7.2,일본
AE,39.69,0.0,174487767,10.8,UAE
MY,36.62,26.666666666666668,213449304,15.8,말레이시아
BR,33.22,0.0,15752788,7.9,브라질
TR,31.21,0.0,75669151,3.9,터키
ID,29.02,6.666666666666667,77029990,8.2,인도네시아
CN,28.39,13.333333333333334,0,14.8,중국
GB,21.64,6.666666666666667,58122721,10.9,영국
ZA,18.89,0.0,282266878,7.0,남아공
IN,17.31,0.0,84903336,6.4,인도
