country,kwci,L2_norm,youtube_views,trends_interest,country_name
VN,62.78,83.87096774193549,70658891,6.0,베트남
AR,60.51,100.0,3091523,7.2,아르헨티나
US,59.43,70.96774193548387,243961105,15.0,미국
TH,56.76,74.19354838709677,34410835,7.1,태국
FR,55.87,83.87096774193549,81633554,7.2,프랑스
JP,48.0,51.61290322580645,123952722,5.4,일본
AE,41.85,51.61290322580645,25313914,10.2,UAE
MY,36.32,19.35483870967742,129576244,15.4,말레이시아
BR,35.18,35.483870967741936,1578159,7.1,브라질
TR,32.47,35.483870967741936,10007794,3.9,터키
ID,28.71,6.451612903225806,42034694,8.2,인도네시아
CN,28.36,12.903225806451612,0,10.5,중국
GB,19.47,3.225806451612903,6401951,9.4,영국
IN,19.07,0.0,58137017,6.8,인도
ZA,16.82,3.225806451612903,49321992,6.9,남아공
