country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
US,kpop,72,78,sample_baseline,8064561,9,,youtube_api,22.0,trends_api,51,kf_api,,,55.55555555555556,7.606134482853684,42.5,70.96774193548387,0.4,0.35,0.25,35.50936929122101,,56.78439287777873,0.1228,6.973123445391228
US,kvideo,55,78,sample_baseline,38250,1,,youtube_api,5.0,trends_api,51,kf_api,,,52.77777777777778,0.143441935941869,16.666666666666664,70.96774193548387,0.4,0.35,0.25,25.327982455357436,,52.7118381434333,0.1287,6.784013569059866
US,kgame,64,78,sample_baseline,14685757,8,,youtube_search_fallback,2.0,trends_api,51,kf_api,,,70.0,100.0,50.0,70.96774193548387,0.4,0.35,0.25,75.5,,72.78064516129032,0.1067,7.765694838709678
US,kwebtoon,52,78,sample_baseline,12939989,8,,youtube_search_fallback,9.0,trends_api,51,kf_api,,,38.46153846153847,39.67262210256246,29.166666666666668,70.96774193548387,0.4,0.35,0.25,36.56169978717891,,57.205325076161884,0.0615,3.518127492183956
US,kfood,42,78,sample_baseline,138602896,8,,youtube_search_fallback,14.0,trends_api,51,kf_api,0.0,customs_api,44.44444444444444,100.0,44.827586206896555,70.96774193548387,0.4,0.35,0.25,63.984674329501914,50.0,59.08725744654554,0.1677,9.908933073785686
US,kbeauty,55,78,sample_baseline,43989835,8,,youtube_search_fallback,40.0,trends_api,51,kf_api,0.0,customs_api,51.35135135135135,80.54826455833403,100.0,70.96774193548387,0.4,0.35,0.25,73.73243313595745,50.0,61.036809207836654,0.2165,13.214469193496635
US,kfashion,40,78,sample_baseline,22851498,8,,youtube_search_fallback,24.0,trends_api,51,kf_api,0.0,customs_api,51.85185185185185,56.216702090297645,100.0,70.96774193548387,0.4,0.35,0.25,65.41658647234492,50.0,59.373639875114144,0.1401,8.318246946503491
US,ktourism,38,78,sample_baseline,2788319,8,,youtube_search_fallback,4.0,trends_api,51,kf_api,120000.0,sample_kto,45.45454545454545,73.21268451069825,60.0,70.96774193548387,0.4,0.35,0.25,58.80625776056257,38.983050847457626,52.54309955648648,0.056,2.942413575163243
CN,kpop,64,60,sample_baseline,0,0,http_400,youtube_api_error,27.0,trends_api,33,kf_api,,,33.33333333333333,0.0,55.00000000000001,12.903225806451612,0.4,0.6,0.0,13.333333333333332,,13.0752688172043,0.1228,1.6056430107526882
CN,kvideo,58,60,sample_baseline,0,0,http_400,youtube_api_error,16.0,trends_api,33,kf_api,,,61.111111111111114,0.0,62.5,12.903225806451612,0.4,0.6,0.0,24.444444444444446,,17.519713261648747,0.1287,2.254787096774194
CN,kgame,55,60,sample_baseline,0,0,http_400,youtube_api_error,4.0,trends_api,33,kf_api,,,25.0,0.0,100.0,12.903225806451612,0.4,0.6,0.0,10.0,,11.741935483870968,0.1067,1.2528645161290324
CN,kwebtoon,56,60,sample_baseline,0,0,http_400,youtube_api_error,11.0,trends_api,33,kf_api,,,53.84615384615385,0.0,37.5,12.903225806451612,0.4,0.6,0.0,21.53846153846154,,16.357320099255585,0.0615,1.0059751861042185
CN,kfood,49,60,sample_baseline,0,0,http_400,youtube_api_error,6.0,trends_api,33,kf_api,0.0,customs_api,70.37037037037037,0.0,17.24137931034483,12.903225806451612,0.4,0.6,0.0,28.14814814814815,50.0,34.500597371565114,0.1677,5.785750179211469
CN,kbeauty,73,60,sample_baseline,0,0,http_400,youtube_api_error,16.0,trends_api,33,kf_api,0.0,customs_api,100.0,0.0,35.13513513513514,12.903225806451612,0.4,0.6,0.0,40.0,50.0,36.87096774193549,0.2165,7.982564516129033
CN,kfashion,53,60,sample_baseline,0,0,http_400,youtube_api_error,1.0,trends_api,33,kf_api,0.0,customs_api,100.0,0.0,0.0,12.903225806451612,0.4,0.6,0.0,40.0,50.0,36.87096774193549,0.1401,5.165622580645162
CN,ktourism,42,60,sample_baseline,0,0,http_400,youtube_api_error,3.0,trends_api,33,kf_api,300000.0,sample_kto,63.63636363636363,0.0,40.0,12.903225806451612,0.4,0.6,0.0,25.454545454545453,100.0,58.961876832844574,0.056,3.301865102639296
JP,kpop,69,72,sample_baseline,3445657,15,,youtube_api,7.0,trends_api,45,kf_api,,,47.22222222222222,3.2497901031173524,5.0,51.61290322580645,0.4,0.35,0.25,21.276315424979963,,39.478268105475856,0.1228,4.8479313233524355
JP,kvideo,56,72,sample_baseline,290060,1,,youtube_api,2.0,trends_api,45,kf_api,,,55.55555555555556,1.087758638935909,4.166666666666666,51.61290322580645,0.4,0.35,0.25,23.64460441251646,,40.42558370049045,0.1287,5.202772622253121
JP,kgame,58,72,sample_baseline,112437,1,,youtube_api,1.0,trends_api,45,kf_api,,,40.0,0.7656193684806306,25.0,51.61290322580645,0.4,0.35,0.25,22.51796677896822,,39.97492864707115,0.1067,4.265324886642492
JP,kwebtoon,54,72,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,45,kf_api,,,46.15384615384615,0.0,0.0,51.61290322580645,0.4,0.35,0.25,18.461538461538463,,38.35235732009925,0.0615,2.3586699751861038
JP,kfood,51,72,sample_baseline,35043951,8,,youtube_search_fallback,3.0,trends_api,45,kf_api,0.0,customs_api,77.77777777777779,25.283707636238713,6.896551724137931,51.61290322580645,0.4,0.35,0.25,41.684546714829146,50.0,48.82078031070777,0.1677,8.187244858105693
JP,kbeauty,59,72,sample_baseline,40603150,8,,youtube_search_fallback,8.0,trends_api,45,kf_api,0.0,customs_api,62.16216216216216,74.34702285429623,13.513513513513514,51.61290322580645,0.4,0.35,0.25,54.26470124224692,50.0,51.33681121619132,0.2165,11.114419628305422
JP,kfashion,42,72,sample_baseline,40648948,8,,youtube_search_fallback,14.0,trends_api,45,kf_api,0.0,customs_api,59.25925925925925,100.0,56.52173913043478,51.61290322580645,0.4,0.35,0.25,72.8341384863124,50.0,55.05069866500442,0.1401,7.712602882967119
JP,ktourism,50,72,sample_baseline,3808519,8,,youtube_search_fallback,6.0,trends_api,45,kf_api,250000.0,sample_kto,100.0,100.0,100.0,51.61290322580645,0.4,0.35,0.25,100.0,83.05084745762711,77.00929469655549,0.056,4.312520503007107
VN,kpop,83,64,sample_baseline,34761310,21,,youtube_api,8.0,trends_api,55,kf_api,,,86.11111111111111,32.7853182163501,7.5,83.87096774193549,0.4,0.35,0.25,47.79430582016698,,69.44030297322809,0.1228,8.52726920511241
VN,kvideo,72,64,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,55,kf_api,,,100.0,0.0,8.333333333333332,83.87096774193549,0.4,0.35,0.25,42.083333333333336,,67.15591397849462,0.1287,8.642966129032258
VN,kgame,70,64,sample_baseline,2523602,2,,youtube_api,1.0,trends_api,55,kf_api,,,100.0,17.184010330553612,25.0,83.87096774193549,0.4,0.35,0.25,52.264403615693766,,71.2283420914388,0.1067,7.600064101156521
VN,kwebtoon,68,64,sample_baseline,32616924,8,,youtube_search_fallback,8.0,trends_api,55,kf_api,,,100.0,100.0,25.0,83.87096774193549,0.4,0.35,0.25,81.25,,82.82258064516128,0.0615,5.093588709677419
VN,kfood,57,64,sample_baseline,757055,1,,youtube_api,7.0,trends_api,55,kf_api,0.0,customs_api,100.0,0.5462043159617674,20.689655172413794,83.87096774193549,0.4,0.35,0.25,45.36358530369007,50.0,59.234007383318655,0.1677,9.933543038182538
VN,kbeauty,67,64,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,55,kf_api,0.0,customs_api,83.78378378378379,0.0,5.405405405405405,83.87096774193549,0.4,0.35,0.25,34.86486486486487,50.0,57.134263295553616,0.2165,12.369568003487357
VN,kfashion,48,64,sample_baseline,0,0,search_http_429,youtube_api,14.0,trends_api,55,kf_api,0.0,customs_api,81.48148148148148,0.0,56.52173913043478,83.87096774193549,0.4,0.35,0.25,46.72302737520129,50.0,59.5058957976209,0.1401,8.336776001246688
