country,kwci,L2_norm,youtube_views,trends_interest,country_name
VN,67.53,60.0,364799087,23.4,베트남
AR,65.76,100.0,299922782,17.6,아르헨티나
TH,60.57,74.19354838709677,180191917,21.6,태국
US,51.73,0.0,264492757,24.4,미국
FR,49.85,0.0,131026538,15.5,프랑스
JP,48.67,40.0,130502461,20.4,일본
AE,44.02,0.0,521548819,19.1,UAE
BR,42.36,35.483870967741936,293010224,20.6,브라질
MY,41.8,60.0,417874883,29.4,말레이시아
CN,34.77,100.0,0,21.2,중국
TR,34.66,0.0,248668289,13.8,터키
ID,33.92,20.0,267853658,21.5,인도네시아
GB,21.84,3.225806451612903,205664420,18.5,영국
IN,21.25,0.0,464835210,15.4,인도
ZA,20.16,0.0,288182027,12.4,남아공
