country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
US,kpop,72,78,sample_baseline,83873824,75,,youtube_api,23.0,trends_api,51,kf_api,,,55.55555555555556,25.786530807759405,33.33333333333333,0.0,0.4,0.35,0.25,39.58084133827135,,15.83233653530854,0.1228,1.944210926535889
US,kvideo,55,78,sample_baseline,1866371,3,,youtube_api,55.0,sample_trends,51,kf_api,,,52.77777777777778,5.847103328386213,52.77777777777778,70.96774193548387,0.4,0.35,0.25,36.35204172049073,,57.121461849486614,0.1287,7.351532140028928
US,kgame,64,78,sample_baseline,134490,1,,youtube_api,11.0,trends_api,51,kf_api,,,70.0,1.9850395118653674,100.0,70.96774193548387,0.4,0.35,0.25,53.694763829152876,,64.05855069295147,0.1067,6.835047358937922
US,kwebtoon,52,78,sample_baseline,65634580,8,,youtube_search_fallback,1.0,trends_api,51,kf_api,,,38.46153846153847,100.0,50.0,70.96774193548387,0.4,0.35,0.25,62.88461538461539,,67.73449131513648,0.0615,4.165671215880893
US,kfood,42,78,sample_baseline,101955759,8,,youtube_search_fallback,14.0,trends_api,51,kf_api,0.0,customs_api,44.44444444444444,48.346367843210594,35.13513513513514,70.96774193548387,0.4,0.35,0.25,43.48279030668527,50.0,54.98688064198221,0.1677,9.221299883660416
US,kbeauty,55,78,sample_baseline,81200,1,,youtube_api,55.0,sample_trends,51,kf_api,0.0,customs_api,51.35135135135135,0.16324249451418774,51.35135135135135,70.96774193548387,0.4,0.35,0.25,33.435513251458346,50.0,52.97742523093683,0.2165,11.469612562497824
US,kfashion,40,78,sample_baseline,7372787,8,,youtube_search_fallback,22.0,trends_api,51,kf_api,0.0,customs_api,51.85185185185185,26.909051239299252,91.30434782608695,70.96774193548387,0.4,0.35,0.25,52.98499563101721,50.0,56.8873217068486,0.1401,7.969913771129489
US,ktourism,38,78,sample_baseline,3573746,8,,youtube_search_fallback,14.0,trends_api,51,kf_api,120000.0,sample_kto,45.45454545454545,11.631229577995247,85.71428571428571,70.96774193548387,0.4,0.35,0.25,43.68131996268795,38.983050847457626,49.51811199691156,0.056,2.7730142718270474
CN,kpop,64,60,sample_baseline,0,0,http_400,youtube_api_error,15.0,trends_api,33,kf_api,,,33.33333333333333,0.0,15.555555555555555,100.0,0.4,0.6,0.0,13.333333333333332,,65.33333333333333,0.1228,8.022933333333333
CN,kvideo,58,60,sample_baseline,0,0,http_400,youtube_api_error,58.0,sample_trends,33,kf_api,,,61.111111111111114,0.0,61.111111111111114,12.903225806451612,0.4,0.6,0.0,24.444444444444446,,17.519713261648747,0.1287,2.254787096774194
